0,2150000,8,5,100,3,3,0,1,0,0,0,0,0,1,0,0,0,0
1,4610000,8,3,250,6,3,1,0,0,0,0,0,0,1,0,0,0,0
2,1200000,0,4,110,4,1,0,1,0,0,0,0,0,1,0,0,0,0
3,800000,18,6,125,3,6,0,1,0,0,0,0,0,1,0,0,0,0
4,1850000,2,7,145,4,3,0,1,0,0,0,0,0,0,0,1,0,0
5,825000,1,5,70,2,1,0,1,0,0,0,0,0,1,0,0,0,0
6,2400000,8,4,200,3,3,0,1,0,0,0,0,0,1,0,0,0,0
7,700000,25,5,90,3,1,0,1,0,0,0,0,0,1,0,0,0,0
8,620000,25,4,100,4,1,0,1,0,0,0,0,0,1,0,0,0,0
9,1200000,0,3,100,4,1,0,1,0,0,0,0,0,1,0,0,0,0
10,1900000,8,8,90,3,2,0,1,0,0,0,0,0,1,0,0,0,0
11,1325000,25,5,90,3,2,0,1,0,0,0,0,0,1,0,0,0,0
12,580000,25,4,126,3,-1,0,1,0,0,0,0,0,1,0,0,0,0
13,460000,25,4,95,3,4,0,1,0,0,0,0,0,1,0,0,0,0
14,500000,18,4,138,4,4,0,1,0,0,0,0,0,0,0,0,1,0
15,1500000,13,4,140,5,4,0,1,0,0,0,0,0,1,0,0,0,0
16,1528000,3,4,195,4,4,0,1,0,0,0,0,0,1,0,0,0,0
17,5000000,18,2,280,5,2,1,0,0,0,0,0,0,1,0,0,0,0
18,880000,8,4,60,2,2,0,1,0,0,0,0,0,1,0,0,0,0
19,1700000,4,4,125,4,2,0,1,0,0,0,0,0,1,0,0,0,0
20,1325000,0,5,90,3,3,0,1,0,0,0,0,0,1,0,0,0,0
21,5300000,8,4,165,6,4,0,1,0,0,0,0,0,1,0,0,0,0
22,1490000,0,3,160,5,3,0,1,0,0,0,0,0,1,0,0,0,0
23,1250000,13,10,120,4,1,0,1,0,0,0,0,0,1,0,0,0,0
24,800000,25,4,120,4,1,0,1,0,0,0,0,0,1,0,0,0,0
25,900000,25,4,120,4,2,0,1,0,0,0,0,0,0,0,1,0,0
26,2050000,0,7,60,2,7,0,1,0,0,0,0,0,0,0,0,0,1
27,1100000,0,3,105,3,3,0,1,0,0,0,0,0,1,0,0,0,0
28,1249000,8,3,48,2,1,0,1,0,0,0,0,0,1,0,0,0,0
29,2150000,8,6,125,4,1,0,1,0,0,0,0,0,1,0,0,0,0
30,2790000,8,7,280,5,6,0,1,0,0,0,0,0,1,0,0,0,0
31,735000,25,4,90,3,1,0,1,0,0,0,0,0,1,0,0,0,0
32,420000,8,3,55,2,2,0,1,0,0,0,0,0,1,0,0,0,0
33,1950000,3,15,125,4,5,0,1,0,0,0,0,0,0,0,1,0,0
34,1620000,0,6,95,4,1,0,1,0,0,0,0,0,1,0,0,0,0
35,2275000,8,5,120,4,5,0,1,0,0,0,0,0,1,0,0,0,0
36,3375000,18,7,140,5,5,0,1,0,0,0,0,0,1,0,0,0,0
37,1000000,25,3,83,3,3,0,0,1,0,0,0,0,1,0,0,0,0
38,2500000,8,5,75,3,2,0,1,0,0,0,0,0,0,0,0,0,1
39,1750000,0,6,100,4,1,0,1,0,0,0,0,0,1,0,0,0,0
40,6100000,0,7,160,4,5,0,1,0,0,0,0,0,0,0,0,0,1
41,4940000,0,6,104,3,2,0,1,0,0,0,0,0,0,0,1,0,0
42,595000,25,5,75,3,5,0,1,0,0,1,0,0,0,0,0,0,0
43,1300000,3,5,150,4,2,0,1,0,0,0,0,0,1,0,0,0,0
44,2100000,18,4,105,4,1,0,1,0,0,0,0,0,1,0,0,0,0
45,825000,25,4,99,3,4,0,1,0,0,0,0,0,0,0,0,1,0
46,1100000,25,5,110,3,1,0,1,0,0,0,0,0,1,0,0,0,0
47,2500000,13,6,125,4,4,0,1,0,0,0,0,0,1,0,0,0,0
48,1750000,0,10,75,3,8,0,1,0,0,0,0,0,1,0,0,0,0
49,540000,25,5,140,4,-1,0,1,0,0,0,0,0,0,0,1,0,0
50,2600000,0,3,140,4,2,0,1,0,0,0,0,0,1,0,0,0,0
51,5500000,18,2,350,3,2,0,0,1,0,0,0,0,1,0,0,0,0
52,475000,18,4,80,3,1,0,1,0,0,0,0,0,0,0,1,0,0
53,1150000,25,5,105,3,4,0,1,0,0,0,0,0,1,0,0,0,0
54,1310000,18,5,120,4,1,0,1,0,0,0,0,0,1,0,0,0,0
55,3750000,0,5,320,7,5,1,0,0,0,0,0,0,1,0,0,0,0
56,1850000,0,6,107,3,1,0,1,0,0,0,0,0,1,0,0,0,0
57,1200000,2,3,150,3,3,0,1,0,0,0,0,0,0,1,0,0,0
58,475000,18,5,100,3,5,0,1,0,0,0,0,0,0,0,0,0,0
59,1550000,25,9,120,4,6,0,1,0,0,0,0,0,0,0,1,0,0
60,1720000,8,3,90,3,1,0,1,0,0,0,0,0,1,0,0,0,0
